"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births	Total Population	Birth Rate
	"Colorado"	"08"	"2020"	"2020"	61494	5807719	10.58832
"Total"	"Colorado"	"08"			921726	74489892	12.37384
	"Connecticut"	"09"	"2007"	"2007"	41660	3527270	11.81083
	"Connecticut"	"09"	"2008"	"2008"	40399	3545579	11.39419
	"Connecticut"	"09"	"2009"	"2009"	38896	3561807	10.92030
	"Connecticut"	"09"	"2010"	"2010"	37708	3574097	10.55036
	"Connecticut"	"09"	"2011"	"2011"	37281	3580709	10.41163
	"Connecticut"	"09"	"2012"	"2012"	36539	3590347	10.17701
	"Connecticut"	"09"	"2013"	"2013"	36085	3596080	10.03454
	"Connecticut"	"09"	"2014"	"2014"	36285	3596677	10.08848
	"Connecticut"	"09"	"2015"	"2015"	35746	3590886	9.95465
	"Connecticut"	"09"	"2016"	"2016"	36015	3576452	10.07004
	"Connecticut"	"09"	"2017"	"2017"	35221	3588184	9.81583
	"Connecticut"	"09"	"2018"	"2018"	34725	3572665	9.71964
	"Connecticut"	"09"	"2019"	"2019"	34258	3565287	9.60876
	"Connecticut"	"09"	"2020"	"2020"	33460	3557006	9.40679
"Total"	"Connecticut"	"09"			514278	50023046	10.28082
	"Delaware"	"10"	"2007"	"2007"	12170	871749	13.96044
	"Delaware"	"10"	"2008"	"2008"	12090	883874	13.67842
	"Delaware"	"10"	"2009"	"2009"	11559	891730	12.96244
	"Delaware"	"10"	"2010"	"2010"	11364	897934	12.65572
	"Delaware"	"10"	"2011"	"2011"	11257	907135	12.40940
	"Delaware"	"10"	"2012"	"2012"	11023	917092	12.01951
	"Delaware"	"10"	"2013"	"2013"	10831	925749	11.69972
	"Delaware"	"10"	"2014"	"2014"	10972	935614	11.72706
	"Delaware"	"10"	"2015"	"2015"	11166	945934	11.80421
	"Delaware"	"10"	"2016"	"2016"	10992	952065	11.54543
	"Delaware"	"10"	"2017"	"2017"	10855	961939	11.28450
	"Delaware"	"10"	"2018"	"2018"	10621	967171	10.98151
	"Delaware"	"10"	"2019"	"2019"	10562	973764	10.84657
	"Delaware"	"10"	"2020"	"2020"	10392	986809	10.53091
"Total"	"Delaware"	"10"			155854	13018559	11.97168
	"District of Columbia"	"11"	"2007"	"2007"	8864	574404	15.43165
	"District of Columbia"	"11"	"2008"	"2008"	9130	580236	15.73498
	"District of Columbia"	"11"	"2009"	"2009"	9040	592228	15.26439
	"District of Columbia"	"11"	"2010"	"2010"	9165	601723	15.23126
	"District of Columbia"	"11"	"2011"	"2011"	9295	617996	15.04055
	"District of Columbia"	"11"	"2012"	"2012"	9399	632323	14.86424
	"District of Columbia"	"11"	"2013"	"2013"	9288	646449	14.36772
	"District of Columbia"	"11"	"2014"	"2014"	9509	658893	14.43178
	"District of Columbia"	"11"	"2015"	"2015"	9578	672228	14.24814
	"District of Columbia"	"11"	"2016"	"2016"	9858	681170	14.47216
	"District of Columbia"	"11"	"2017"	"2017"	9560	693972	13.77577
	"District of Columbia"	"11"	"2018"	"2018"	9212	702455	13.11401
	"District of Columbia"	"11"	"2019"	"2019"	9079	705749	12.86435
	"District of Columbia"	"11"	"2020"	"2020"	8874	712816	12.44922
"Total"	"District of Columbia"	"11"			129851	9072642	14.31237
	"Florida"	"12"	"2007"	"2007"	239165	18367842	13.02085
	"Florida"	"12"	"2008"	"2008"	231445	18527305	12.49210
	"Florida"	"12"	"2009"	"2009"	221394	18652644	11.86931
	"Florida"	"12"	"2010"	"2010"	214590	18801310	11.41357
	"Florida"	"12"	"2011"	"2011"	213414	19057542	11.19840
	"Florida"	"12"	"2012"	"2012"	213148	19317568	11.03389
	"Florida"	"12"	"2013"	"2013"	215407	19552860	11.01665
	"Florida"	"12"	"2014"	"2014"	219991	19893297	11.05855
	"Florida"	"12"	"2015"	"2015"	224269	20271272	11.06339
	"Florida"	"12"	"2016"	"2016"	225022	20612439	10.91681
	"Florida"	"12"	"2017"	"2017"	223630	20984400	10.65696
	"Florida"	"12"	"2018"	"2018"	221542	21299325	10.40136
	"Florida"	"12"	"2019"	"2019"	220002	21477737	10.24326
	"Florida"	"12"	"2020"	"2020"	209671	21733312	9.64745
"Total"	"Florida"	"12"			3092690	278548853	11.10286
	"Georgia"	"13"	"2007"	"2007"	151137	9349988	16.16441
	"Georgia"	"13"	"2008"	"2008"	146603	9504843	15.42403
	"Georgia"	"13"	"2009"	"2009"	141377	9620846	14.69486
	"Georgia"	"13"	"2010"	"2010"	133947	9687653	13.82657
	"Georgia"	"13"	"2011"	"2011"	132409	9815210	13.49019
	"Georgia"	"13"	"2012"	"2012"	130280	9919945	13.13314
	"Georgia"	"13"	"2013"	"2013"	128748	9992167	12.88489
	"Georgia"	"13"	"2014"	"2014"	130946	10097343	12.96836
	"Georgia"	"13"	"2015"	"2015"	131404	10214860	12.86400
	"Georgia"	"13"	"2016"	"2016"	130042	10310371	12.61274
	"Georgia"	"13"	"2017"	"2017"	129243	10429379	12.39220
	"Georgia"	"13"	"2018"	"2018"	126172	10519475	11.99413
	"Georgia"	"13"	"2019"	"2019"	126371	10617423	11.90223
	"Georgia"	"13"	"2020"	"2020"	122473	10710017	11.43537
"Total"	"Georgia"	"13"			1861152	140789520	13.21939
	"Hawaii"	"15"	"2007"	"2007"	19134	1315675	14.54311
	"Hawaii"	"15"	"2008"	"2008"	19484	1332213	14.62529
	"Hawaii"	"15"	"2009"	"2009"	18887	1346717	14.02448
	"Hawaii"	"15"	"2010"	"2010"	18988	1360301	13.95868
	"Hawaii"	"15"	"2011"	"2011"	18956	1374810	13.78809
	"Hawaii"	"15"	"2012"	"2012"	18980	1392313	13.63199
	"Hawaii"	"15"	"2013"	"2013"	18987	1404054	13.52298
	"Hawaii"	"15"	"2014"	"2014"	18550	1419561	13.06742
	"Hawaii"	"15"	"2015"	"2015"	18420	1431603	12.86670
	"Hawaii"	"15"	"2016"	"2016"	18059	1428557	12.64143
	"Hawaii"	"15"	"2017"	"2017"	17517	1427538	12.27078
	"Hawaii"	"15"	"2018"	"2018"	16972	1420491	11.94798
	"Hawaii"	"15"	"2019"	"2019"	16797	1415872	11.86336
	"Hawaii"	"15"	"2020"	"2020"	15785	1407006	11.21886
"Total"	"Hawaii"	"15"			255516	19476711	13.11905
	"Idaho"	"16"	"2007"	"2007"	25019	1505105	16.62276
	"Idaho"	"16"	"2008"	"2008"	25149	1534320	16.39097
	"Idaho"	"16"	"2009"	"2009"	23737	1554439	15.27046
	"Idaho"	"16"	"2010"	"2010"	23198	1567582	14.79859
	"Idaho"	"16"	"2011"	"2011"	22305	1584985	14.07269
	"Idaho"	"16"	"2012"	"2012"	22963	1595728	14.39030
	"Idaho"	"16"	"2013"	"2013"	22383	1612136	13.88406
	"Idaho"	"16"	"2014"	"2014"	22876	1634464	13.99603
	"Idaho"	"16"	"2015"	"2015"	22827	1654930	13.79333
	"Idaho"	"16"	"2016"	"2016"	22482	1683140	13.35718
	"Idaho"	"16"	"2017"	"2017"	22181	1716943	12.91889
	"Idaho"	"16"	"2018"	"2018"	21403	1754208	12.20095
	"Idaho"	"16"	"2019"	"2019"	22063	1787065	12.34594
	"Idaho"	"16"	"2020"	"2020"	21533	1826913	11.78655
"Total"	"Idaho"	"16"			320119	23011958	13.91098
	"Illinois"	"17"	"2007"	"2007"	180836	12695866	14.24369
	"Illinois"	"17"	"2008"	"2008"	176795	12747038	13.86950
	"Illinois"	"17"	"2009"	"2009"	171163	12796778	13.37548
	"Illinois"	"17"	"2010"	"2010"	165200	12830632	12.87544
	"Illinois"	"17"	"2011"	"2011"	161312	12869257	12.53468
	"Illinois"	"17"	"2012"	"2012"	159160	12875255	12.36170
	"Illinois"	"17"	"2013"	"2013"	156931	12882135	12.18206
	"Illinois"	"17"	"2014"	"2014"	158556	12880580	12.30969
	"Illinois"	"17"	"2015"	"2015"	158116	12859995	12.29518
	"Illinois"	"17"	"2016"	"2016"	154445	12801539	12.06457
	"Illinois"	"17"	"2017"	"2017"	149390	12802023	11.66925
	"Illinois"	"17"	"2018"	"2018"	144815	12741080	11.36599
	"Illinois"	"17"	"2019"	"2019"	140128	12671821	11.05824
	"Illinois"	"17"	"2020"	"2020"	133298	12587530	10.58969
"Total"	"Illinois"	"17"			2210145	179041529	12.34431
	"Indiana"	"18"	"2007"	"2007"	89864	6379599	14.08615
	"Indiana"	"18"	"2008"	"2008"	88742	6424806	13.81240
	"Indiana"	"18"	"2009"	"2009"	86673	6459325	13.41828
	"Indiana"	"18"	"2010"	"2010"	83940	6483802	12.94611
	"Indiana"	"18"	"2011"	"2011"	83701	6516922	12.84364
	"Indiana"	"18"	"2012"	"2012"	83227	6537334	12.73103
	"Indiana"	"18"	"2013"	"2013"	83102	6570902	12.64697
	"Indiana"	"18"	"2014"	"2014"	84080	6596855	12.74547
	"Indiana"	"18"	"2015"	"2015"	84040	6619680	12.69548
	"Indiana"	"18"	"2016"	"2016"	83091	6633053	12.52681
	"Indiana"	"18"	"2017"	"2017"	82170	6666818	12.32522
	"Indiana"	"18"	"2018"	"2018"	81646	6691878	12.20076
	"Indiana"	"18"	"2019"	"2019"	80859	6732219	12.01075
	"Indiana"	"18"	"2020"	"2020"	78616	6754953	11.63827
"Total"	"Indiana"	"18"			1173751	92068146	12.74872
	"Iowa"	"19"	"2007"	"2007"	40886	2999212	13.63225
	"Iowa"	"19"	"2008"	"2008"	40224	3016734	13.33363
	"Iowa"	"19"	"2009"	"2009"	39701	3032870	13.09024
	"Iowa"	"19"	"2010"	"2010"	38719	3046355	12.70994
	"Iowa"	"19"	"2011"	"2011"	38214	3062309	12.47882
	"Iowa"	"19"	"2012"	"2012"	38702	3074186	12.58935
	"Iowa"	"19"	"2013"	"2013"	39094	3090416	12.65008
	"Iowa"	"19"	"2014"	"2014"	39687	3107126	12.77290
	"Iowa"	"19"	"2015"	"2015"	39482	3123899	12.63869
	"Iowa"	"19"	"2016"	"2016"	39403	3134693	12.56997
	"Iowa"	"19"	"2017"	"2017"	38430	3145711	12.21663
	"Iowa"	"19"	"2018"	"2018"	37785	3156145	11.97188
	"Iowa"	"19"	"2019"	"2019"	37649	3155070	11.93286
	"Iowa"	"19"	"2020"	"2020"	36114	3163561	11.41562
"Total"	"Iowa"	"19"			544090	43308287	12.56318
	"Kansas"	"20"	"2007"	"2007"	42004	2783785	15.08881
	"Kansas"	"20"	"2008"	"2008"	41833	2808076	14.89739
	"Kansas"	"20"	"2009"	"2009"	41396	2832704	14.61360
	"Kansas"	"20"	"2010"	"2010"	40649	2853118	14.24722
	"Kansas"	"20"	"2011"	"2011"	39642	2871238	13.80659
	"Kansas"	"20"	"2012"	"2012"	40341	2885905	13.97863
	"Kansas"	"20"	"2013"	"2013"	38839	2893957	13.42072
	"Kansas"	"20"	"2014"	"2014"	39223	2904021	13.50645
	"Kansas"	"20"	"2015"	"2015"	39154	2911641	13.44740
	"Kansas"	"20"	"2016"	"2016"	38053	2907289	13.08883
	"Kansas"	"20"	"2017"	"2017"	36519	2913123	12.53603
	"Kansas"	"20"	"2018"	"2018"	36261	2911505	12.45438
	"Kansas"	"20"	"2019"	"2019"	35395	2913314	12.14939
	"Kansas"	"20"	"2020"	"2020"	34376	2913805	11.79763
"Total"	"Kansas"	"20"			543685	40303481	13.48978
	"Kentucky"	"21"	"2007"	"2007"	59368	4256672	13.94705
	"Kentucky"	"21"	"2008"	"2008"	58375	4289878	13.60761
	"Kentucky"	"21"	"2009"	"2009"	57551	4317074	13.33102
	"Kentucky"	"21"	"2010"	"2010"	55784	4339367	12.85533
	"Kentucky"	"21"	"2011"	"2011"	55370	4369356	12.67235
	"Kentucky"	"21"	"2012"	"2012"	55758	4380415	12.72893
	"Kentucky"	"21"	"2013"	"2013"	55686	4395295	12.66946
	"Kentucky"	"21"	"2014"	"2014"	56170	4413457	12.72698
	"Kentucky"	"21"	"2015"	"2015"	55971	4425092	12.64855
	"Kentucky"	"21"	"2016"	"2016"	55449	4436974	12.49703
	"Kentucky"	"21"	"2017"	"2017"	54752	4454189	12.29225
	"Kentucky"	"21"	"2018"	"2018"	53922	4468402	12.06740
	"Kentucky"	"21"	"2019"	"2019"	53069	4467673	11.87844
	"Kentucky"	"21"	"2020"	"2020"	51668	4477251	11.54012
"Total"	"Kentucky"	"21"			778893	61491095	12.66676
	"Louisiana"	"22"	"2007"	"2007"	66301	4375581	15.15250
	"Louisiana"	"22"	"2008"	"2008"	65268	4435586	14.71463
	"Louisiana"	"22"	"2009"	"2009"	64973	4491648	14.46529
	"Louisiana"	"22"	"2010"	"2010"	62379	4533372	13.75996
	"Louisiana"	"22"	"2011"	"2011"	61888	4574836	13.52792
	"Louisiana"	"22"	"2012"	"2012"	62642	4601893	13.61222
	"Louisiana"	"22"	"2013"	"2013"	63201	4625470	13.66369
	"Louisiana"	"22"	"2014"	"2014"	64497	4649676	13.87129
	"Louisiana"	"22"	"2015"	"2015"	64692	4670724	13.85053
	"Louisiana"	"22"	"2016"	"2016"	63178	4681666	13.49477
	"Louisiana"	"22"	"2017"	"2017"	61018	4684333	13.02597
	"Louisiana"	"22"	"2018"	"2018"	59615	4659978	12.79298
	"Louisiana"	"22"	"2019"	"2019"	58941	4648794	12.67877
	"Louisiana"	"22"	"2020"	"2020"	57328	4645318	12.34103
"Total"	"Louisiana"	"22"			875921	64278875	13.62689
	"Maine"	"23"	"2007"	"2007"	14120	1327040	10.64022
	"Maine"	"23"	"2008"	"2008"	13609	1330509	10.22842
	"Maine"	"23"	"2009"	"2009"	13470	1329590	10.13094
	"Maine"	"23"	"2010"	"2010"	12970	1328361	9.76391
	"Maine"	"23"	"2011"	"2011"	12704	1328188	9.56491
	"Maine"	"23"	"2012"	"2012"	12798	1329192	9.62841
	"Maine"	"23"	"2013"	"2013"	12776	1328302	9.61829
	"Maine"	"23"	"2014"	"2014"	12698	1330089	9.54673
	"Maine"	"23"	"2015"	"2015"	12607	1329328	9.48374
	"Maine"	"23"	"2016"	"2016"	12705	1331479	9.54202
	"Maine"	"23"	"2017"	"2017"	12298	1335907	9.20573
	"Maine"	"23"	"2018"	"2018"	12311	1338404	9.19827
	"Maine"	"23"	"2019"	"2019"	11779	1344212	8.76275
	"Maine"	"23"	"2020"	"2020"	11539	1350141	8.54651
"Total"	"Maine"	"23"			178384	18660742	9.55932
	"Maryland"	"24"	"2007"	"2007"	78095	5653408	13.81379
	"Maryland"	"24"	"2008"	"2008"	77289	5684965	13.59533
	"Maryland"	"24"	"2009"	"2009"	75059	5730388	13.09841
	"Maryland"	"24"	"2010"	"2010"	73801	5773552	12.78260
	"Maryland"	"24"	"2011"	"2011"	73093	5828289	12.54107
	"Maryland"	"24"	"2012"	"2012"	72883	5884563	12.38546
	"Maryland"	"24"	"2013"	"2013"	71953	5928814	12.13615
	"Maryland"	"24"	"2014"	"2014"	73921	5976407	12.36880
	"Maryland"	"24"	"2015"	"2015"	73616	6006401	12.25626
	"Maryland"	"24"	"2016"	"2016"	73136	6016447	12.15601
	"Maryland"	"24"	"2017"	"2017"	71641	6052177	11.83723
	"Maryland"	"24"	"2018"	"2018"	71080	6042718	11.76292
	"Maryland"	"24"	"2019"	"2019"	70178	6045680	11.60796
	"Maryland"	"24"	"2020"	"2020"	68554	6055802	11.32038
"Total"	"Maryland"	"24"			1024299	82679611	12.38877
	"Massachusetts"	"25"	"2007"	"2007"	77967	6431559	12.12257
	"Massachusetts"	"25"	"2008"	"2008"	77022	6468967	11.90638
	"Massachusetts"	"25"	"2009"	"2009"	75016	6517613	11.50974
	"Massachusetts"	"25"	"2010"	"2010"	72865	6547629	11.12846
	"Massachusetts"	"25"	"2011"	"2011"	73166	6587536	11.10673
	"Massachusetts"	"25"	"2012"	"2012"	72439	6646144	10.89940
	"Massachusetts"	"25"	"2013"	"2013"	71788	6692824	10.72612
	"Massachusetts"	"25"	"2014"	"2014"	71908	6745408	10.66029
	"Massachusetts"	"25"	"2015"	"2015"	71492	6794422	10.52216
	"Massachusetts"	"25"	"2016"	"2016"	71317	6811779	10.46966
	"Massachusetts"	"25"	"2017"	"2017"	70702	6859819	10.30669
	"Massachusetts"	"25"	"2018"	"2018"	69109	6902149	10.01268
	"Massachusetts"	"25"	"2019"	"2019"	69117	6892503	10.02785
	"Massachusetts"	"25"	"2020"	"2020"	66428	6893574	9.63622
"Total"	"Massachusetts"	"25"			1010336	93791926	10.77210
	"Michigan"	"26"	"2007"	"2007"	125261	10001284	12.52449
	"Michigan"	"26"	"2008"	"2008"	121127	9946889	12.17738
	"Michigan"	"26"	"2009"	"2009"	117294	9901591	11.84598
	"Michigan"	"26"	"2010"	"2010"	114531	9883640	11.58794
	"Michigan"	"26"	"2011"	"2011"	114008	9876187	11.54373
	"Michigan"	"26"	"2012"	"2012"	113091	9883360	11.44257
	"Michigan"	"26"	"2013"	"2013"	113489	9895622	11.46861
	"Michigan"	"26"	"2014"	"2014"	114375	9909877	11.54152
	"Michigan"	"26"	"2015"	"2015"	113312	9922576	11.41962
	"Michigan"	"26"	"2016"	"2016"	113315	9928300	11.41333
	"Michigan"	"26"	"2017"	"2017"	111426	9962311	11.18475
	"Michigan"	"26"	"2018"	"2018"	110032	9995915	11.00770
	"Michigan"	"26"	"2019"	"2019"	107886	9986857	10.80280
	"Michigan"	"26"	"2020"	"2020"	104074	9966555	10.44232
"Total"	"Michigan"	"26"			1593221	139060964	11.45700
	"Minnesota"	"27"	"2007"	"2007"	73735	5207203	14.16019
	"Minnesota"	"27"	"2008"	"2008"	72421	5247018	13.80232
	"Minnesota"	"27"	"2009"	"2009"	70646	5281203	13.37688
	"Minnesota"	"27"	"2010"	"2010"	68610	5303925	12.93570
	"Minnesota"	"27"	"2011"	"2011"	68409	5344861	12.79902
	"Minnesota"	"27"	"2012"	"2012"	68772	5379139	12.78495
	"Minnesota"	"27"	"2013"	"2013"	69159	5420380	12.75907
	"Minnesota"	"27"	"2014"	"2014"	69904	5457173	12.80956
	"Minnesota"	"27"	"2015"	"2015"	69834	5489594	12.72116
	"Minnesota"	"27"	"2016"	"2016"	69749	5519952	12.63580
	"Minnesota"	"27"	"2017"	"2017"	68595	5576606	12.30049
	"Minnesota"	"27"	"2018"	"2018"	67344	5611179	12.00176
	"Minnesota"	"27"	"2019"	"2019"	66027	5639632	11.70768
	"Minnesota"	"27"	"2020"	"2020"	63443	5657342	11.21428
"Total"	"Minnesota"	"27"			966648	76135207	12.69647
	"Mississippi"	"28"	"2007"	"2007"	46491	2928350	15.87618
	"Mississippi"	"28"	"2008"	"2008"	44947	2947806	15.24761
	"Mississippi"	"28"	"2009"	"2009"	42901	2958774	14.49959
	"Mississippi"	"28"	"2010"	"2010"	40036	2967297	13.49241
	"Mississippi"	"28"	"2011"	"2011"	39860	2978512	13.38252
	"Mississippi"	"28"	"2012"	"2012"	38669	2984926	12.95476
	"Mississippi"	"28"	"2013"	"2013"	38634	2991207	12.91586
	"Mississippi"	"28"	"2014"	"2014"	38736	2994079	12.93753
	"Mississippi"	"28"	"2015"	"2015"	38394	2992333	12.83079
	"Mississippi"	"28"	"2016"	"2016"	37928	2988726	12.69036
	"Mississippi"	"28"	"2017"	"2017"	37357	2984100	12.51868
	"Mississippi"	"28"	"2018"	"2018"	37000	2986530	12.38896
	"Mississippi"	"28"	"2019"	"2019"	36636	2976149	12.30987
	"Mississippi"	"28"	"2020"	"2020"	35473	2966786	11.95671
"Total"	"Mississippi"	"28"			553062	41645575	13.28021
	"Missouri"	"29"	"2007"	"2007"	81930	5887612	13.91566
	"Missouri"	"29"	"2008"	"2008"	80963	5923916	13.66714
	"Missouri"	"29"	"2009"	"2009"	78905	5961088	13.23668
	"Missouri"	"29"	"2010"	"2010"	76759	5988927	12.81682
	"Missouri"	"29"	"2011"	"2011"	76117	6010688	12.66361
	"Missouri"	"29"	"2012"	"2012"	75446	6021988	12.52842
	"Missouri"	"29"	"2013"	"2013"	75296	6044171	12.45762
	"Missouri"	"29"	"2014"	"2014"	75360	6063589	12.42828
	"Missouri"	"29"	"2015"	"2015"	75061	6083672	12.33811
	"Missouri"	"29"	"2016"	"2016"	74705	6093000	12.26079
	"Missouri"	"29"	"2017"	"2017"	73034	6113532	11.94629
	"Missouri"	"29"	"2018"	"2018"	73269	6126452	11.95945
	"Missouri"	"29"	"2019"	"2019"	72127	6137428	11.75199
	"Missouri"	"29"	"2020"	"2020"	69285	6151548	11.26302
"Total"	"Missouri"	"29"			1058257	84607611	12.50782
	"Montana"	"30"	"2007"	"2007"	12439	964706	12.89408
	"Montana"	"30"	"2008"	"2008"	12594	976415	12.89820
	"Montana"	"30"	"2009"	"2009"	12257	983982	12.45653
	"Montana"	"30"	"2010"	"2010"	12060	989415	12.18902
	"Montana"	"30"	"2011"	"2011"	12069	998199	12.09078
	"Montana"	"30"	"2012"	"2012"	12118	1005141	12.05602
	"Montana"	"30"	"2013"	"2013"	12377	1015165	12.19211
	"Montana"	"30"	"2014"	"2014"	12432	1023579	12.14562
	"Montana"	"30"	"2015"	"2015"	12583	1032949	12.18163
	"Montana"	"30"	"2016"	"2016"	12282	1042520	11.78107
	"Montana"	"30"	"2017"	"2017"	11799	1050493	11.23187
	"Montana"	"30"	"2018"	"2018"	11513	1062305	10.83775
	"Montana"	"30"	"2019"	"2019"	11079	1068778	10.36604
	"Montana"	"30"	"2020"	"2020"	10791	1080577	9.98633
"Total"	"Montana"	"30"			168393	14294224	11.78049
	"Nebraska"	"31"	"2007"	"2007"	26934	1783440	15.10227
	"Nebraska"	"31"	"2008"	"2008"	26989	1796378	15.02412
	"Nebraska"	"31"	"2009"	"2009"	26936	1812683	14.85974
	"Nebraska"	"31"	"2010"	"2010"	25918	1826341	14.19122
	"Nebraska"	"31"	"2011"	"2011"	25720	1842641	13.95823
	"Nebraska"	"31"	"2012"	"2012"	25942	1855525	13.98095
	"Nebraska"	"31"	"2013"	"2013"	26095	1868516	13.96563
